row_idx,OBP,Ki_pred_uM,Ki_lower_uM,T_max,sigma_log,n_donors,decision,c1
609,OasiCSP12,14.820000000000011,14.820000000000011,0.4761904776096344,0.0,1,exploratory,0.476
617,OasiCSP12,12.250000000000002,12.250000000000002,0.3461538553237915,0.0,1,exploratory,0.346
0,OcorOBP1,4.987098621368523,3.0549517852099237,0.3333333432674408,0.21284359622862498,2,exploratory,0.262
1,OcorOBP1,3.4815222937476884,2.1411950463095906,0.4000000059604645,0.21111295053768644,4,exploratory,0.316
2,OcorOBP1,2.3000000000000007,2.3000000000000007,0.6097561120986938,0.0,1,confident,0.61
3,OcorOBP1,2.472389112993587,2.0033700315066705,0.4137931168079376,0.0913556496782997,5,exploratory,0.376
4,OcorOBP1,11.413235103793518,10.520936417457172,0.523809552192688,0.035354367506995034,2,confident,0.505
6,OcorOBP1,3.0000000000000013,3.0000000000000013,0.3333333432674408,0.0,1,exploratory,0.333
7,OcorOBP1,2.1980565240927823,1.7364879742635264,0.7857142686843872,0.10236707629639956,4,confident,0.705
8,OcorOBP1,4.268389553164399,2.3725063405868436,0.42307692766189575,0.25505666653929293,3,exploratory,0.315
13,OcorOBP1,1.8000000000000016,1.8000000000000016,0.3333333432674408,0.0,1,exploratory,0.333
14,OcorOBP1,2.619119689381523,2.186596388802531,0.6399999856948853,0.07838671888356907,5,confident,0.59
15,OcorOBP1,3.0000000000000013,3.0000000000000013,0.9375,0.0,1,confident,0.938
16,OcorOBP1,3.326169400983445,2.995089302303029,0.380952388048172,0.045534588010009834,2,exploratory,0.364
17,OcorOBP1,3.0000000000000013,3.0000000000000013,1.0,0.0,1,confident,1.0
18,OcorOBP1,3.0000000000000013,3.0000000000000013,1.0,0.0,1,confident,1.0
19,OcorOBP1,3.0000000000000013,3.0000000000000013,0.75,0.0,1,confident,0.75
22,OcorOBP1,2.5810403733667124,2.0874518181955994,0.4838709533214569,0.0921783379107626,4,exploratory,0.439
23,OcorOBP1,2.627886697252785,2.181795763637083,0.6000000238418579,0.08079254229661706,5,confident,0.552
27,OcorOBP1,3.0364345199689864,2.612450878239674,0.375,0.06531578691397243,3,exploratory,0.351
28,OcorOBP1,3.0000000000000013,3.0000000000000013,1.0,0.0,1,confident,1.0
30,OcorOBP1,2.575333879239437,2.0981702400376876,0.5517241358757019,0.08899281834477055,4,confident,0.503
32,OcorOBP1,4.997988274122382,3.0618802792226854,0.4166666567325592,0.21280702728339973,2,exploratory,0.328
33,OcorOBP1,3.521574921403953,2.130362610414983,0.35483869910240173,0.21828340115036818,4,exploratory,0.277
34,OcorOBP1,8.000000000000004,8.000000000000004,0.4285714328289032,0.0,1,exploratory,0.429
35,OcorOBP1,3.0000000000000013,3.0000000000000013,1.0,0.0,1,confident,1.0
36,OcorOBP1,2.7477031818566546,2.5084494907975805,0.3333333432674408,0.0395644559936091,2,exploratory,0.32
37,OcorOBP1,3.0000000000000013,3.0000000000000013,0.8421052694320679,0.0,1,confident,0.842
39,OcorOBP1,10.0,10.0,0.3030303120613098,0.0,1,exploratory,0.303
40,OcorOBP1,3.0364345199689864,2.612450878239674,0.375,0.06531578691397243,3,exploratory,0.351
41,OcorOBP1,3.326169400983445,2.995089302303029,0.380952388048172,0.045534588010009834,2,exploratory,0.364
43,OcorOBP1,10.0,10.0,0.3333333432674408,0.0,1,exploratory,0.333
46,OcorOBP1,3.326169400983445,2.995089302303029,0.380952388048172,0.045534588010009834,2,exploratory,0.364
48,OcorOBP1,8.000000000000004,8.000000000000004,0.37837839126586914,0.0,1,exploratory,0.378
50,OcorOBP1,12.000000000000007,12.000000000000007,0.36000001430511475,0.0,1,exploratory,0.36
53,OcorOBP1,3.2786609773575854,2.955915702729072,0.375,0.04500446711574808,2,exploratory,0.358
54,OcorOBP1,8.631928508769054,7.765647104689136,0.4749999940395355,0.04593018382455441,2,exploratory,0.453
55,OcorOBP1,3.255853484752312,2.939242074167303,0.5,0.044429497387929444,2,confident,0.478
56,OcorOBP1,3.7232722812209404,2.012212252568845,0.4333333373069763,0.2672510080029636,3,exploratory,0.318
57,OcorOBP1,3.3884525567604684,1.8904526948866993,0.40625,0.25343559485614325,3,exploratory,0.303
58,OcorOBP1,3.326169400983445,2.995089302303029,0.380952388048172,0.045534588010009834,2,exploratory,0.364
59,OcorOBP1,3.255853484752312,2.939242074167303,0.5,0.044429497387929444,2,confident,0.478
60,OcorOBP1,3.0000000000000013,3.0000000000000013,0.4000000059604645,0.0,1,exploratory,0.4
62,OcorOBP1,3.521574921403953,2.130362610414983,0.35483869910240173,0.21828340115036818,4,exploratory,0.277
63,OcorOBP1,2.5795440317791463,2.184607862487574,0.8095238208770752,0.07216945314181857,5,confident,0.751
64,OcorOBP1,2.4999999999999996,2.4999999999999996,0.3333333432674408,0.0,1,exploratory,0.333
65,OcorOBP1,3.326169400983445,2.995089302303029,0.380952388048172,0.045534588010009834,2,exploratory,0.364
69,OcorOBP1,3.2786609773575854,2.955915702729072,0.375,0.04500446711574808,2,exploratory,0.358
70,OcorOBP1,4.7362487098042845,2.9037286804438502,0.3214285671710968,0.21247846580438678,2,exploratory,0.253
71,OcorOBP1,5.011018408168921,3.070210506970954,0.32499998807907104,0.21275784452835753,2,exploratory,0.256
72,OcorOBP1,3.0000000000000013,3.0000000000000013,0.7647058963775635,0.0,1,confident,0.765
74,OcorOBP1,2.0000000000000004,2.0000000000000004,0.692307710647583,0.0,1,confident,0.692
76,OcorOBP1,3.255853484752312,2.939242074167303,0.5,0.044429497387929444,2,confident,0.478
77,OcorOBP1,3.4815222937476884,2.1411950463095906,0.4000000059604645,0.21111295053768644,4,exploratory,0.316
78,OcorOBP1,9.517136602274467,8.057356193687808,0.39534884691238403,0.07231373987317734,3,exploratory,0.367
79,OcorOBP1,4.472503327449187,2.855017171754054,0.4583333432674408,0.19494194765315584,3,exploratory,0.369
81,OcorOBP1,10.0,10.0,0.3142857253551483,0.0,1,exploratory,0.314
82,OcorOBP1,3.0000000000000013,3.0000000000000013,1.0,0.0,1,confident,1.0
83,OcorOBP1,3.0000000000000013,3.0000000000000013,1.0,0.0,1,confident,1.0
87,OcorOBP1,4.997988274122382,3.0618802792226854,0.4166666567325592,0.21280702728339973,2,exploratory,0.328
91,OcorOBP1,5.011018408168921,3.070210506970954,0.32499998807907104,0.21275784452835753,2,exploratory,0.256
96,OcorOBP1,3.326169400983445,2.995089302303029,0.380952388048172,0.045534588010009834,2,exploratory,0.364
97,OcorOBP1,3.255853484752312,2.939242074167303,0.5,0.044429497387929444,2,confident,0.478
99,OcorOBP1,2.619119689381523,2.186596388802531,0.6399999856948853,0.07838671888356907,5,confident,0.59
100,OcorOBP1,5.359783856179051,3.3095717564171174,0.4166666567325592,0.2093754745932704,2,exploratory,0.329
102,OcorOBP1,8.000000000000004,8.000000000000004,0.3684210479259491,0.0,1,exploratory,0.368
103,OcorOBP1,3.3884525567604684,1.8904526948866993,0.40625,0.25343559485614325,3,exploratory,0.303
105,OcorOBP1,3.255853484752312,2.939242074167303,0.5,0.044429497387929444,2,confident,0.478
107,OcorOBP1,3.255853484752312,2.939242074167303,0.5,0.044429497387929444,2,confident,0.478
108,OcorOBP1,8.000000000000004,8.000000000000004,0.34375,0.0,1,exploratory,0.344
110,OcorOBP1,8.000000000000004,8.000000000000004,0.3636363744735718,0.0,1,exploratory,0.364
111,OcorOBP1,3.0000000000000013,3.0000000000000013,0.75,0.0,1,confident,0.75
114,OcorOBP1,2.733411259835001,1.5316383078578213,0.5675675868988037,0.2515487591255472,2,confident,0.425
115,OcorOBP1,8.631928508769054,7.765647104689136,0.4749999940395355,0.04593018382455441,2,exploratory,0.453
117,OcorOBP1,3.9656385910100487,2.0602935278912424,0.3448275923728943,0.28438403392505623,3,exploratory,0.247
118,OcorOBP1,3.000000000000007,3.0000000000000013,0.4444444477558136,8.881784197001252e-16,1,exploratory,0.444
119,OcorOBP1,3.9933562633613673,2.2027774645835914,0.36666667461395264,0.2583674322772018,3,exploratory,0.272
121,OcorOBP1,3.5000000000000004,3.5000000000000004,0.42424243688583374,0.0,1,exploratory,0.424
123,OcorOBP1,3.0000000000000013,3.0000000000000013,0.5652173757553101,0.0,1,confident,0.565
124,OcorOBP1,3.0000000000000013,3.0000000000000013,0.8421052694320679,0.0,1,confident,0.842
126,OcorOBP1,10.0,10.0,0.3243243098258972,0.0,1,exploratory,0.324
